['所属小区:碧桂园城市花园', '房屋户型:3室2厅1卫', '房屋单价:15944元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:94.1平方米', '参考首付:45.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:高晟广场小区', '房屋户型:2室2厅1卫', '房屋单价:7973元/m²', '所在位置:花都－新区－迎宾大道163号', '建筑面积:74平方米', '参考首付:17.70万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:广地花园', '房屋户型:2室2厅1卫', '房屋单价:30442元/m²', '所在位置:番禺－华南－迎宾大道', '建筑面积:87.4平方米', '参考首付:79.80万', '建造年代:2000年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共19层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:3室2厅2卫', '房屋单价:25104元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:96平方米', '参考首付:72.30万', '建造年代:2019年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:珠江铂世湾', '房屋户型:3室2厅2卫', '房屋单价:36735元/m²', '所在位置:番禺－华南－兴南大道163号', '建筑面积:98平方米', '参考首付:108.00万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:雅居乐小院流溪（别墅）', '房屋户型:4室2厅3卫', '房屋单价:15983元/m²', '所在位置:从化－太平镇－广从北路', '建筑面积:167.7平方米', '参考首付:80.40万', '建造年代:2015年', '房屋朝向:南北', '房屋类型:别墅', '所在楼层:低层(共6层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:石牌村商住楼', '房屋户型:1室1厅1卫', '房屋单价:30444元/m²', '所在位置:天河－珠江新城东－海业路3号', '建筑面积:45平方米', '参考首付:41.10万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共19层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:万科海上传奇', '房屋户型:2室2厅2卫', '房屋单价:35789元/m²', '所在位置:荔湾－芳村－太和街', '建筑面积:38平方米', '参考首付:40.80万', '建造年代:2016年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:海逸花园', '房屋户型:2室1厅1卫', '房屋单价:44377元/m²', '所在位置:海珠－江南大道中－江南大道中110号', '建筑面积:72.1平方米', '参考首付:96.00万', '建造年代:2005年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:高层(共31层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:富庭东园', '房屋户型:3室2厅1卫', '房屋单价:29167元/m²', '所在位置:番禺－大石－建华路89号', '建筑面积:72平方米', '参考首付:63.00万', '建造年代:2004年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共7层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:同创誉城', '房屋户型:1室2厅1卫', '房屋单价:23023元/m²', '所在位置:番禺－南村镇－国泰路12号', '建筑面积:43平方米', '参考首付:29.70万', '建造年代:2013年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共20层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
